pressure,flow
3.96664,206.524
4.04689,126.204
4.09284,63.9584
4.11019,6.95208
4.0985,-56.8901
4.05194,-137.153
3.96093,-239.573
3.81418,-365.192
3.60113,-510.124
3.31422,-665.937
2.95097,-820.621
2.51532,-960.032
2.0183,-1069.64
1.47774,-1136.39
0.917137,-1150.5
0.363638,-1106.88
-0.15448,-1006.19
-0.610738,-855.125
-0.98337,-666.17
-1.25792,-456.563
-1.42918,-246.687
-1.50228,-57.9933
-1.49256,89.365
-1.42445,178.919
-1.32902,200.06
-1.24075,149.751
-1.19354,33.5632
-1.2164,-134.117
-1.32927,-330.788
-1.53946,-527.441
-1.83897,-690.978
-2.20328,-787.261
-2.59163,-784.534
-2.94905,-656.925
-3.21004,-387.688
-3.30372,28.1442
-3.16002,581.977
-2.71656,1250.99
-1.92548,1998.7
-0.759702,2776.85
0.781992,3528.45
2.6717,4191.9
4.85127,4705.77
7.23365,5014.01
9.70679,5071.02
12.1398,4846.21
14.3915,4327.71
16.3197,3524.68
17.7922,2468.09
18.697,1209.8
18.9521,-180.123
18.5133,-1617.67
17.3796,-3010.53
15.596,-4264.6
13.2521,-5291.03
10.4786,-6013.17
7.43899,-6372.84
4.31987,-6335.43
1.31805,-5893.49
-1.37294,-5068.23
-3.57689,-3908.98
-5.148,-2490.48
-5.98224,-908.091
-6.02593,728.605
-5.28078,2303.51
-3.80512,3702.37
-1.71087,4821.21
0.843399,5574.14
3.66295,5899.98
6.53027,5767.16
9.22024,5176.43
11.5161,4161.22
13.2251,2785.63
14.1924,1140.01
14.3124,-665.385
13.5365,-2508.21
11.8773,-4262.86
9.4075,-5809.47
6.25516,-7042.51
2.59485,-7878.32
-1.36457,-8260.87
-5.39446,-8165.59
-9.26216,-7600.66
-12.7469,-6605.92
-15.6543,-5249.49
-17.8291,-3622.19
-19.1648,-1830.52
-19.6086,11.5165
-19.1638,1790.81
-17.887,3403.4
-15.8817,4761.65
-13.2891,5800.03
-10.2762,6478.9
-7.02268,6786.22
-3.70725,6736.94
-0.495402,6370.27
2.47159,5745.18
5.08486,4934.36
7.27304,4017.47
9.00389,3074.03
10.2826,2176.69
11.1469,1385.46
11.66,743.332
11.901,273.61
11.9558,-20.7667
11.9067,-156.009
11.8241,-164.473
11.7596,-90.2158
11.7413,16.4457
11.7727,104.843
11.8333,129.75
11.8833,56.5207
11.8692,-134.931
11.7317,-447.68
11.4145,-867.102
10.8726,-1362.02
10.0794,-1887.61
9.03299,-2389.72
7.75896,-2810.31
6.31097,-3093.45
4.76825,-3191.27
3.23035,-3069.39
1.80938,-2711.21
0.620614,-2120.72
-0.227867,-1323.43
-0.645537,-365.375
-0.568795,689.829
0.0315138,1765.62
1.14521,2778.5
2.721,3644.85
4.66823,4288.04
6.86188,4645.21
9.15083,4673.04
11.3685,4352.14
13.3452,3689.48
14.9212,2718.75
15.9595,1498.54
16.3569,108.354
16.053,-1357.06
15.0361,-2794.79
13.3451,-4101.63
11.0676,-5182.01
8.3346,-5955.49
5.31137,-6363.11
2.18567,-6372.06
-0.845653,-5978.34
-3.59096,-5207.12
-5.8777,-4110.86
-7.56479,-2765.21
-8.5526,-1263.2
-8.78972,291.976
-8.27601,1794.88
-7.06172,3145.79
-5.24287,4258.2
-2.95319,5065.03
-0.353437,5523.27
2.38109,5616.59
5.07373,5355.72
7.55938,4776.69
9.69597,3937.08
11.3737,2910.59
12.5215,1780.5
13.1096,632.571
13.1496,-452.064
12.6899,-1403.29
11.8098,-2167.24
10.6096,-2709.96
9.20146,-3019.1
7.69794,-3103.73
6.20248,-2992.19
4.80074,-2728.25
3.55419,-2366.1
2.49652,-1964.44
1.63288,-1580.45
0.942045,-1264.04
0.381218,-1053.03
-0.107169,-969.599
-0.587273,-1018.39
-1.12118,-1186.42
-1.76065,-1444.75
-2.54003,-1751.71
-3.47114,-2057.52
-4.54056,-2309.56
-5.70968,-2458.14
-6.91743,-2461.84
-8.08553,-2292.24
-9.12568,-1937.28
-9.94814,-1403.15
-10.4707,-714.316
-10.6271,88.143
-10.3749,949.969
-9.69997,1808.46
-8.62003,2598.15
-7.18407,3256.93
-5.46941,3731.99
-3.57579,3985.02
-1.61726,3996.29
0.287552,3766.94
2.02581,3319.59
3.50069,2696.8
4.64041,1957.74
5.40512,1173.23
5.79118,419.585
5.83213,-228.305
5.59635,-703.838
5.1814,-955.097
4.70548,-950.089
4.2968,-680.347
4.08159,-162.54
4.17186,562.109
4.65403,1430.59
5.57937,2362.89
6.9572,3268.41
8.75154,4053.49
10.8816,4629.47
13.226,4920.53
15.6312,4870.69
17.9219,4449.37
19.9153,3654.87
21.4349,2515.72
22.3252,1089.37
22.4654,-541.417
21.7798,-2274.35
20.2463,-3995.12
17.8995,-5586.04
14.8306,-6935.11
11.1823,-7944.78
7.13968,-8539.75
2.91801,-8673.01
-1.25233,-8329.86
-5.142,-7529.33
-8.53899,-6323
-11.2637,-4791.29
-13.1818,-3037.51
-14.2131,-1180.03
-14.3375,656.594
-13.5951,2351.02
-12.0826,3794.25
-9.94526,4897.67
-7.36526,5599.53
-4.54749,5869.19
-1.70378,5708.92
0.963089,5153.14
3.27438,4265.12
5.08818,3131.44
6.30911,1854.75
6.89414,545.345
6.85416,-687.656
6.25129,-1744.95
5.19216,-2544.66
3.81783,-3028.5
2.29121,-3165.79
0.783001,-2955.33
-0.542611,-2424.76
-1.54144,-1627.69
-2.10084,-638.735
-2.14845,452.914
-1.65749,1551.04
-0.648282,2560.25
0.814056,3393.64
2.62542,3979.49
4.65153,4266.63
6.73889,4227.99
8.72703,3862.14
10.461,3192.7
11.8029,2265.83
12.6422,1146.01
12.9032,-89.5496
12.5496,-1357.16
11.5862,-2573.26
10.0576,-3660.7
8.043,-4554.17
5.64986,-5204.47
3.00513,-5581.26
0.245728,-5674.12
-2.49115,-5491.99
-5.07698,-5061.07
-7.39958,-4421.45
-9.36891,-3622.94
-10.9207,-2720.36
-12.0176,-1768.86
-12.6485,-819.668
-12.8256,83.3849
-12.5801,906.318
-11.9573,1626.21
-11.0108,2231.19
-9.79751,2719.28
-8.37337,3096.31
-6.79009,3373.16
-5.09346,3562.77
-3.32305,3677.13
-1.51333,3724.79
0.304158,3709.03
2.09801,3626.95
3.8339,3469.74
5.47199,3223.77
6.96503,2872.81
8.25775,2400.8
9.28775,1795.03
9.98791,1049.44
10.2903,167.373
10.1315,-836.183
9.4584,-1933.5
8.23459,-3084.16
6.44622,-4236.45
4.10695,-5330.02
1.26128,-6299.67
-2.01422,-7079.97
-5.61203,-7610.43
-9.39733,-7840.61
-13.2141,-7734.95
-16.8935,-7276.63
-20.2634,-6470.25
-23.1597,-5342.98
-25.4368,-3943.99
-26.9782,-2342.04
-27.7047,-621.595
-27.5813,1122.61
-26.6206,2791.9
-24.8827,4290.57
-22.4724,5532.77
-19.5327,6448.88
-16.2357,6990.72
-12.7707,7135.39
-9.33166,6887.11
-6.10398,6277.16
-3.25146,5361.68
-0.905258,4217.57
0.844973,2936.8
1.95675,1619.42
2.43689,366.033
2.3399,-729.933
1.76268,-1589.36
0.835987,-2153.53
-0.286662,-2388.6
-1.44188,-2288.23
-2.47003,-1873.94
-3.22845,-1193.38
-3.60339,-316.492
-3.51961,670.087
-2.94684,1669.96
-1.90269,2584.68
-0.451733,3321.71
1.29925,3801.85
3.20941,3965.78
5.11483,3778.91
6.8414,3234.51
8.21875,2354.48
9.09395,1188.04
9.34412,-191.759
8.88679,-1693.4
7.68735,-3213.68
5.76286,-4645.48
3.18199,-5885.76
0.0611556,-6843.39
-3.4431,-7446.05
-7.14463,-7645.71
-10.8406,-7422.37
-14.3256,-6785.63
-17.406,-5774.09
-19.9138,-4452.66
-21.7179,-2907.8
-22.7336,-1241.32
-22.9282,437.023
-22.3228,2017.44
-20.9906,3398.01
-19.0512,4491.91
-16.6615,5233.6
-14.0042,5583.31
-11.2748,5529.74
-8.66702,5090.56
-6.35912,4310.93
-4.50138,3259.99
-3.20546,2025.63
-2.5368,708.052
-2.51041,-587.588
-3.0903,-1758.76
-4.19254,-2712.91
-5.69182,-3374.07
-7.4309,-3688.15
-9.23226,-3626.73
-10.9112,-3189.01
-12.2895,-2401.71
-13.2082,-1317.22
-13.5395,-9.81286
-13.1962,1429.5
-12.1385,2899.27
-10.377,4294.64
-7.97314,5514.46
-5.03521,6468.19
-1.71199,7082.02
1.81689,7303.88
5.35239,7106.95
8.68901,6491.54
11.628,5485.19
13.9905,4140.98
15.6291,2534.28
16.4378,758.069
16.3589,-1082.85
15.3877,-2878.29
13.5732,-4519.48
11.0157,-5905.66
7.86164,-6950.29
4.29499,-7586.19
0.527038,-7769.65
-3.2159,-7483.02
-6.70548,-6735.78
-9.72457,-5564
-12.0797,-4028.3
-13.6124,-2210.3
-14.2082,-208.025
-13.8033,1869.72
-12.3885,3909.47
-10.0098,5799.45
-6.76629,7435.83
-2.80435,8728.38
1.68977,9605.46
6.5002,10017.8
11.393,9941.07
16.1288,9377.11
20.4754,8353.61
24.2202,6922.4
27.181,5156.54
29.216,3146.12
30.2302,993.337
30.1806,-1193.14
29.0774,-3304.03
26.9833,-5235.27
24.0093,-6893.5
20.3085,-8200.88
16.0674,-9099.02
11.4954,-9551.77
6.81411,-9546.77
2.2451,-9095.74
-2.00139,-8233.36
-5.73726,-7015.03
-8.80584,-5513.5
-11.0894,-3814.57
-12.5142,-2012.27
-13.0534,-203.613
-12.7274,1516.71
-11.6009,3061.34
-9.77879,4354.85
-7.39887,5337.46
-4.62385,5967.96
-1.63161,6225.44
1.39487,6109.94
4.27765,5641.91
6.85346,4860.56
8.98224,3821.27
10.5542,2592.13
11.4952,1249.9
11.7696,-124.389
11.3817,-1449.99
10.374,-2650.82
8.82431,-3659.55
6.84051,-4421.02
4.55379,-4895
2.11095,-5058.01
-0.334023,-4904.26
-2.62863,-4445.52
-4.63025,-3710.16
-6.21376,-2741.25
-7.27816,-1593.9
-7.75164,-332.086
-7.59508,975
-6.80362,2256.79
-5.40643,3445.15
-3.46457,4478.06
-1.06726,5302.83
1.6734,5878.8
4.62885,6179.39
7.66121,6193.28
10.6309,5924.85
13.4044,5393.68
15.8608,4633.24
17.899,3688.88
19.4422,2615.12
20.4416,1472.42
20.8791,323.717
20.7668,-769.237
20.1463,-1749.47
19.0847,-2568.07
17.671,-3186.99
16.0091,-3581.28
14.212,-3740.45
12.3939,-3669.01
10.6634,-3386.12
9.11636,-2924.22
7.82985,-2326.91
6.85761,-1646.06
6.22675,-938.321
5.93626,-261.34
5.95759,330.203
6.23696,788.381
6.69957,1075.43
7.25521,1166.49
7.80511,1051.59
8.24948,736.509
8.49518,242.661
8.46312,-394.185
8.0947,-1126.23
7.35697,-1896.88
6.24598,-2644.73
4.78802,-3307.95
3.03877,-3828.86
1.08013,-4158.34
-0.984901,-4259.73
-3.0391,-4111.89
-4.95917,-3711.24
-6.62453,-3072.63
-7.92629,-2228.73
-8.77547,-1228.24
-9.11022,-132.732
-8.90106,987.409
-8.15404,2057.95
-6.91131,3006.09
-5.24913,3765.83
-3.27331,4282.96
-1.11236,4519.28
1.09113,4455.77
3.19037,4094.34
5.04468,3458.18
6.5297,2590.39
7.5464,1551.21
8.02853,413.858
7.94775,-740.681
7.31593,-1829.5
6.18469,-2773.89
4.64181,-3505.26
2.80504,-3970.31
0.813527,-4135.24
-1.18241,-3988.44
-3.03248,-3541.59
-4.59764,-2829.02
-5.76073,-1905.29
-6.43539,-841.299
-6.5728,280.996
-6.16565,1374.65
-5.24897,2354.28
-3.89777,3142.59
-2.22159,3676.23
-0.356513,3910.72
1.54505,3823.98
3.32576,3418.04
4.83518,2719.14
5.94128,1775.8
6.54045,655.31
6.56555,-561.222
5.99121,-1784.91
4.83601,-2925.64
3.16148,-3898.77
1.06786,-4631.32
-1.31291,-5067.28
-3.82654,-5171.6
-6.30728,-4932.59
-8.58951,-4362.49
-10.5192,-3496.33
-11.9646,-2388.98
-12.8244,-1110.91
-13.0348,257.227
-12.5723,1630.61
-11.455,2926.37
-9.73948,4069.48
-7.516,4997.73
-4.90135,5665.69
-2.02985,6047.09
0.956261,6135.76
3.91652,5944.92
6.72123,5504.97
9.25907,4860.11
11.4428,4064.04
13.2128,3175.14
14.5379,2251.63
15.4147,1347.05
15.8639,506.486
15.9254,-236.132
15.6527,-859.585
15.1067,-1355.54
14.3492,-1727.51
13.4378,-1988.7
12.4219,-2159.02
11.3404,-2261.61
10.2206,-2319.26
9.07965,-2351.09
7.92672,-2369.78
6.76677,-2379.82
5.60475,-2376.8
4.44987,-2347.81
3.31938,-2273.12
2.24137,-2128.72
1.25598,-1889.67
0.415034,-1533.82
-0.220281,-1045.53
-0.58343,-419.037
-0.608012,338.99
-0.234258,1207.91
0.584033,2152.87
1.8728,3126
3.63189,4068.93
5.83085,4916.49
8.40668,5601.5
11.2641,6059.95
14.2786,6236.49
17.3017,6089.49
20.1688,5595.37
22.7089,4751.8
24.7556,3579.31
26.1578,2121.25
26.791,442.05
26.5667,-1376.31
25.4397,-3239.2
23.4127,-5045.41
20.5382,-6693.87
16.9168,-8090.51
12.6915,-9154.85
8.04066,-9825.6
3.16656,-10065.1
-1.71629,-9861.82
-6.39448,-9231.59
-10.6687,-8216.14
-14.3658,-6880.31
-17.3491,-5307.51
-19.526,-3593.84
-20.8524,-1841.45
-21.3345,-151.592
-21.0259,1382.15
-20.0232,2679.88
-18.4574,3680.27
-16.4842,4343.96
-14.2727,4655.26
-11.9942,4622.02
-9.81039,4273.91
-7.86394,3659.11
-6.27037,2839.84
-5.1124,1887.14
-4.43707,875.299
-4.25547,-123.634
-4.54507,-1044.72
-5.25419,-1834.13
-6.30821,-2452
-7.61674,-2873.88
-9.08131,-3090.93
-10.6027,-3108.72
-12.0876,-2945.07
-13.4536,-2627.03
-14.6333,-2187.42
-15.5757,-1661.29
-16.2471,-1082.55
-16.6292,-481.311
-16.7174,118.188
-16.517,698.571
-16.0401,1249.43
-15.3023,1766.52
-14.3204,2250.18
-13.1099,2703.31
-11.6849,3129.04
-10.0584,3528.5
-8.24378,3898.99
-6.25677,4232.7
-4.11842,4516.23
-1.85756,4730.98
0.486844,4854.5
2.86434,4862.45
5.21268,4731.35
7.45892,4441.46
9.52204,3979.82
11.3169,3342.93
12.7593,2538.83
13.7723,1588.28
14.292,524.944
14.2739,-605.675
13.6985,-1748.36
12.5746,-2841.41
10.9422,-3820.6
8.87224,-4623.8
6.46452,-5195.54
3.84342,-5491.59
1.15137,-5482.69
-1.45919,-5157.56
-3.83507,-4524.47
-5.83198,-3611.61
-7.32405,-2465.86
-8.21233,-1150.2
-8.43185,260.091
-7.95639,1682.27
-6.80089,3031.52
-5.02106,4226.59
-2.7103,5195.2
0.00590353,5878.88
2.97766,6236.77
6.04,6248.22
9.02305,5913.95
11.7625,5255.68
14.1094,4314.39
15.9389,3147.2
17.1573,1823.32
17.7065,419.252
17.5665,-986.329
16.7554,-2317.61
15.3265,-3506.24
13.3639,-4495.24
10.9761,-5241.84
8.2888,-5719.25
5.4365,-5917.19
2.55495,-5841.26
-0.22645,-5511.34
-2.79099,-4959.13
-5.03973,-4225.11
-6.89495,-3355.24
-8.30207,-2397.73
-9.22994,-1399.9
-9.66979,-405.709
-9.63305,546.279
-9.14842,1424.13
-8.25842,2203.13
-7.0159,2865.72
-5.48063,3400.93
-3.7163,3803.46
-1.78805,4072.53
0.239471,4210.76
2.30353,4223.16
4.34424,4116.33
6.30523,3898
8.13414,3576.84
9.78308,3162.6
11.2093,2666.4
12.3757,2101.09
13.2523,1481.6
13.8166,825.105
14.0552,150.916
13.9645,-519.96
13.5515,-1165.6
12.8338,-1764.28
11.8395,-2295.83
10.6056,-2743.06
9.17656,-3093.2
7.60187,-3339.09
5.93286,-3479.99
4.21959,-3521.9
2.50762,-3477.24
0.835039,-3363.96
-0.769878,-3203.96
-2.2901,-3021.08
-3.72026,-2838.77
-5.06581,-2677.57
-6.34105,-2552.82
-7.5661,-2472.65
-8.76299,-2436.71
-9.95141,-2435.6
-11.1443,-2451.31
-12.3439,-2458.53
-13.5389,-2426.98
-14.7024,-2324.36
-15.7922,-2119.91
-16.7519,-1788.09
-17.5148,-1312.12
-18.0089,-687.014
-18.1628,78.2711
-17.9135,959.852
-17.2128,1919.24
-16.0348,2905.13
-14.3813,3856.51
-12.2851,4706.98
-9.81192,5390.03
-7.05867,5844.66
-4.1496,6021.15
-1.22944,5886.19
1.54575,5427.13
4.01935,4654.67
6.0459,3603.87
7.50284,2333.07
8.30119,920.897
8.39438,-538.71
7.78411,-1942.99
6.52289,-3188.01
4.7126,-4176.83
2.4991,-4827.58
0.0630358,-5080.71
-2.39252,-4904.8
-4.65689,-4300.43
-6.52779,-3301.62
